"Order","Family","Genus","Best_guess_binomial","Body_mass_g","Adult_svl_cm","Maturity_d","Max_longevity_d","Longevity_d","Generation_length_d","Litter_clutch_size","Trophic_level","Diel_activity","Habitat_breadth_IUCN","Artificial_habitat_use","Forest","Savanna","Shrubland","Grassland","Wetland","Rocky.areas","Caves.and.subterranean","Desert","Marine","Marine.intertidal.or.coastal.supratidal","Artificial","Introduced.vegetation","Other.Unknown","Note"
"CAPRIMULGIFORMES","TROCHILIDAE","Abeillia","Abeillia abeillei",2.7,NA,NA,NA,NA,1515.7875,2,"Herbivore","Other",2,TRUE,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
"PASSERIFORMES","SCOTOCERCIDAE","Abroscopus","Abroscopus albogularis",4.42,NA,NA,NA,NA,1309.1736229185,3.9,"Carnivore","Other",2,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,NA
"PASSERIFORMES","SCOTOCERCIDAE","Abroscopus","Abroscopus schisticeps",4.85,NA,NA,NA,NA,1309.1736229185,4.5,"Carnivore","Other",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"PASSERIFORMES","SCOTOCERCIDAE","Abroscopus","Abroscopus superciliaris",6.49,NA,NA,NA,NA,1309.1736229185,3.2,"Carnivore","Other",2,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"GALLIFORMES","CRACIDAE","Aburria","Aburria aburri",1405.08,NA,NA,NA,NA,1205.325,NA,"Herbivore","Other",3,TRUE,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
"PASSERIFORMES","MELIPHAGIDAE","Acanthagenys","Acanthagenys rufogularis",49.775,NA,NA,NA,NA,2465.4375,2.3,NA,"Other",6,TRUE,0,1,1,0,0,1,0,0,0,0,1,0,0,NA
"PASSERIFORMES","THRAUPIDAE","Acanthidops","Acanthidops bairdi",16,NA,NA,NA,NA,1379.3014592865,NA,NA,"Other",2,TRUE,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
"PASSERIFORMES","FRINGILLIDAE","Acanthis","Acanthis flammea",12.375,NA,364.617,9131.25,3897.2175,1651.43105396775,5,NA,"Other",10,TRUE,1,0,1,0,0,0,0,0,0,0,1,0,0,NA
"PASSERIFORMES","FRINGILLIDAE","Acanthis","Acanthis hornemanni",14.3,NA,365,2483.7,1680.15,1526.3397427065,4.5,"Herbivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PASSERIFORMES","ACANTHISITTIDAE","Acanthisitta","Acanthisitta chloris",6.91,NA,NA,1887.12500012175,1887.12500012175,1278.375,4,"Carnivore","Other",4,TRUE,1,0,1,0,0,0,0,0,0,0,1,0,0,NA
"PASSERIFORMES","ACANTHIZIDAE","Acanthiza","Acanthiza apicalis",7.56,NA,NA,NA,NA,2069.75000012175,NA,"Carnivore","Other",10,TRUE,1,1,1,0,0,0,0,0,0,0,1,0,0,NA
"PASSERIFORMES","ACANTHIZIDAE","Acanthiza","Acanthiza chrysorrhoa",9.29,NA,NA,NA,NA,2069.75000012175,3.5,"Carnivore","Other",10,TRUE,1,1,1,0,0,0,0,0,0,0,1,0,0,NA
"PASSERIFORMES","ACANTHIZIDAE","Acanthiza","Acanthiza cinerea",7.5999999523,NA,NA,NA,NA,2015.977083171,NA,"Carnivore","Other",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"PASSERIFORMES","ACANTHIZIDAE","Acanthiza","Acanthiza ewingii",6.9000000954,NA,NA,NA,NA,2069.75000012175,3.5,"Carnivore","Other",6,TRUE,1,0,1,0,1,0,0,0,0,0,1,0,0,NA
"PASSERIFORMES","ACANTHIZIDAE","Acanthiza","Acanthiza inornata",7,NA,NA,NA,NA,2069.75000012175,3.5,"Carnivore","Other",5,TRUE,1,1,1,0,0,0,0,0,0,0,1,0,0,NA
