Binomial,bm_g,bs_cm,,,,
Aaptosyax_grypus,30000.00,4.48,,,,
Abalistes_filamentosus,1375.00,3.14,,,,
Abditomys_latidens,268.32,2.43,,,,
Abeillia_abeillei,2.70,0.43,,,,
Abeomelomys_sevia,55.63,1.75,,,,
Ablennes_hians,1500.00,3.18,,,,
Ablepharus_bivittatus,4.40,0.64,,,,
Ablepharus_budaki,1.19,0.08,,,,
Ablepharus_chernovi,1.99,0.30,,,,
Ablepharus_darvazi,1.53,0.18,,,,
Ablepharus_deserti,3.91,0.59,,,,
Ablepharus_grayanus,0.60,-0.22,,,,
Ablepharus_kitaibelii,2.17,0.34,,,,
Ablepharus_pannonicus,3.15,0.50,,,,
Abramis_brama,6010.00,3.78,,,,
Abrawayaomys_ruschii,63.01,1.80,,,,
Abrocoma_bennetti,266.84,2.43,,,,
Abrocoma_bennettii,254.25,2.41,,,,
Abrocoma_boliviensis,158.07,2.20,,,,
Abrocoma_budini,218.26,2.34,,,,
Abrocoma_cinerea,194.16,2.29,,,,
Abrocoma_famatina,218.26,2.34,,,,
Abrocoma_shistacea,218.26,2.34,,,,
Abrocoma_uspallata,214.69,2.33,,,,
Abrocoma_vaccarum,218.26,2.34,,,,
Abronia_anzuetoi,43.84,1.64,,,,
Abronia_aurita,34.42,1.54,,,,
Abronia_campbelli,36.18,1.56,,,,
Abronia_chiszari,6.90,0.84,,,,
Abronia_deppii,26.48,1.42,,,,
Abronia_fimbriata,38.94,1.59,,,,
Abronia_frosti,23.02,1.36,,,,
Abronia_fuscolabialis,24.37,1.39,,,,
Abronia_gaiophantasma,23.02,1.36,,,,
Abronia_graminea,15.10,1.18,,,,
Abronia_leurolepis,19.89,1.30,,,,
Abronia_lythrochila,30.27,1.48,,,,
Abronia_martindelcampoi,26.48,1.42,,,,
Abronia_matudai,15.01,1.18,,,,
Abronia_meledona,30.27,1.48,,,,
Abronia_mitchelli,19.89,1.30,,,,
Abronia_mixteca,58.54,1.77,,,,
Abronia_montecristoi,13.58,1.13,,,,
Abronia_oaxacae,21.23,1.33,,,,
Abronia_ochoterenai,15.50,1.19,,,,
Abronia_ornelasi,15.50,1.19,,,,
Abronia_ramirezi,13.58,1.13,,,,
Abronia_reidi,12.77,1.11,,,,
Abronia_salvadorensis,14.04,1.15,,,,
Abronia_smithi,23.02,1.36,,,,
Abronia_taeniata,11.41,1.06,,,,
Abroscopus_albogularis,4.84,0.68,,,,
Abroscopus_schisticeps,5.18,0.71,,,,
Abroscopus_superciliaris,6.66,0.82,,,,
Abrothrix_andinus,27.35,1.44,,,,
Abrothrix_hershkovitzi,32.42,1.51,,,,
Abrothrix_illuteus,47.79,1.68,,,,
Abrothrix_jelskii,34.50,1.54,,,,
