"Order","Family","Genus","Best_guess_binomial","Body_mass_g","Adult_svl_cm","Maturity_d","Max_longevity_d","Longevity_d","Generation_length_d","Litter_clutch_size","Trophic_level","Diel_activity","Habitat_breadth_IUCN","Artificial_habitat_use","Forest","Savanna","Shrubland","Grassland","Wetland","Rocky.areas","Caves.and.subterranean","Desert","Marine","Marine.intertidal.or.coastal.supratidal","Artificial","Introduced.vegetation","Other.Unknown","Note"
"RODENTIA","MURIDAE","Abditomys","Abditomys latidens",268.545,22.8,NA,NA,NA,639.6318318,NA,"Herbivore","Nocturnal",4,FALSE,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
"RODENTIA","MURIDAE","Abeomelomys","Abeomelomys sevia",56.385,15.8645,NA,NA,NA,624.3996409,1,"Omnivore","Nocturnal",2,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,NA
"RODENTIA","CRICETIDAE","Abrawayaomys","Abrawayaomys ruschii",62.995,NA,NA,NA,NA,589.3882991,NA,"Omnivore","Nocturnal",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"RODENTIA","ABROCOMIDAE","Abrocoma","Abrocoma bennettii",258,25,NA,840.144,840.075,1032.923574,3.93,"Herbivore","Nocturnal",2,FALSE,0,0,1,0,1,0,0,0,0,0,0,0,0,NA
"RODENTIA","ABROCOMIDAE","Abrocoma","Abrocoma boliviensis",158,NA,NA,NA,NA,1032.923574,NA,"Herbivore","Nocturnal",2,FALSE,1,0,0,0,0,1,0,0,0,0,0,0,0,NA
"RODENTIA","ABROCOMIDAE","Abrocoma","Abrocoma budini",214.69,20.1,NA,395.68749987825,395.68749987825,1032.923574,1.995,"Herbivore","Nocturnal",2,FALSE,0,0,0,1,0,1,0,0,0,0,0,0,0,NA
"RODENTIA","ABROCOMIDAE","Abrocoma","Abrocoma cinerea",221.82,20.1,NA,395.68749987825,395.68749987825,1032.923574,2.0925,"Herbivore","Nocturnal",2,FALSE,0,0,0,1,0,1,0,0,0,0,0,0,0,NA
"RODENTIA","ABROCOMIDAE","Abrocoma","Abrocoma famatina",214.69,20.1,NA,395.68749987825,395.68749987825,717.7762436,1.995,"Herbivore","Nocturnal",2,FALSE,0,0,0,1,0,1,0,0,0,0,0,0,0,NA
"RODENTIA","ABROCOMIDAE","Abrocoma","Abrocoma shistacea",214.69,20.1,NA,395.68749987825,395.68749987825,1032.923574,1.995,"Herbivore","Nocturnal",2,FALSE,0,0,0,1,0,1,0,0,0,0,0,0,0,NA
"RODENTIA","ABROCOMIDAE","Abrocoma","Abrocoma uspallata",189.48465,NA,NA,NA,NA,1032.923574,NA,"Herbivore","Nocturnal",3,FALSE,0,1,1,1,0,0,0,0,0,0,0,0,0,NA
"RODENTIA","ABROCOMIDAE","Abrocoma","Abrocoma vaccarum",221.82,20.1,NA,395.68749987825,395.68749987825,1032.923574,1.995,"Herbivore","Nocturnal",1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
"RODENTIA","CRICETIDAE","Abrothrix","Abrothrix andinus",29.78,14,NA,NA,NA,589.3882991,NA,"Omnivore","Nocturnal",2,FALSE,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"RODENTIA","CRICETIDAE","Abrothrix","Abrothrix illuteus",47.79,14,NA,NA,NA,589.3882991,NA,"Omnivore","Nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RODENTIA","CRICETIDAE","Abrothrix","Abrothrix jelskii",34.5,14,NA,NA,NA,589.3882991,NA,"Omnivore","Nocturnal",5,TRUE,0,0,1,1,0,1,0,0,0,0,1,0,0,NA
"RODENTIA","CRICETIDAE","Abrothrix","Abrothrix lanosus",26.8725,14,NA,NA,NA,589.3882991,NA,"Omnivore","Nocturnal",2,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,NA
"RODENTIA","CRICETIDAE","Abrothrix","Abrothrix longipilis",111.93,15.967,57.36626,NA,NA,589.3882991,4.2725,"Omnivore","Other",5,FALSE,1,0,1,1,1,0,0,0,0,0,0,0,0,NA
"RODENTIA","CRICETIDAE","Abrothrix","Abrothrix olivaceus",29.265,12.91725,181.048,365.25,365.25,589.3882991,5.38,"Omnivore","Other",3,FALSE,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
"RODENTIA","CRICETIDAE","Abrothrix","Abrothrix sanborni",24.7,15.5,NA,NA,NA,589.3882991,NA,"Omnivore","Other",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CHIROPTERA","PTEROPODIDAE","Acerodon","Acerodon celebensis",387.42,20.125,NA,NA,NA,1642.5,0.98,"Herbivore","Nocturnal",3,TRUE,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
"CHIROPTERA","PTEROPODIDAE","Acerodon","Acerodon humilis",462.47,NA,NA,NA,NA,1642.5,NA,"Herbivore","Nocturnal",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CHIROPTERA","PTEROPODIDAE","Acerodon","Acerodon jubatus",1081.02,NA,NA,NA,NA,3650,1,"Herbivore","Nocturnal",3,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"CHIROPTERA","PTEROPODIDAE","Acerodon","Acerodon leucotis",462.47,NA,NA,NA,NA,1460,NA,"Herbivore","Nocturnal",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
