"Order","Family","Genus","Best_guess_binomial","Adult_svl_cm","Body_mass_g","Maturity_d","Max_longevity_d","Longevity_d","Litter_clutch_size","Trophic_level","Diel_activity","Habitat_breadth_IUCN","Artificial_habitat_use","Forest","Savanna","Shrubland","Grassland","Wetland","Rocky.areas","Caves.and.subterranean","Desert","Marine","Marine.intertidal.or.coastal.supratidal","Artificial","Introduced.vegetation","Other.Unknown","Note"
"SQUAMATA","SCINCIDAE","Ablepharus","Ablepharus bivittatus",NA,4.38257916120083,NA,NA,NA,4.00036851046125,"Carnivore","Other",4,FALSE,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","SCINCIDAE","Ablepharus","Ablepharus budaki",3.942,2,NA,NA,NA,3.5,"Carnivore","Other",3,TRUE,1,0,1,0,0,0,0,0,0,0,1,0,0,NA
"SQUAMATA","SCINCIDAE","Ablepharus","Ablepharus chernovi",3.942,2.9,NA,NA,NA,3.50012877079217,"Carnivore","Other",3,FALSE,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","SCINCIDAE","Ablepharus","Ablepharus darvazi",NA,1.51027376486625,NA,NA,NA,NA,NA,"Other",2,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","SCINCIDAE","Ablepharus","Ablepharus deserti",NA,3.88628822460809,304.4,NA,NA,4.5,"Carnivore","Other",6,TRUE,1,0,1,0,1,0,0,1,0,0,1,0,0,NA
"SQUAMATA","SCINCIDAE","Ablepharus","Ablepharus grayanus",NA,0.599895538127755,NA,NA,NA,1.5,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","SCINCIDAE","Ablepharus","Ablepharus kitaibelii",3.942,2.445,182.64,1278.375,NA,3.75,"Carnivore","Other",4,TRUE,1,0,1,1,0,0,0,0,0,0,1,0,0,NA
"SQUAMATA","SCINCIDAE","Ablepharus","Ablepharus lindbergi",NA,2.29807432405618,NA,NA,NA,4.5,NA,"Other",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","SCINCIDAE","Ablepharus","Ablepharus pannonicus",NA,3.11303968356198,334.84,NA,NA,4.00018425523063,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","SCINCIDAE","Ablepharus","Ablepharus rueppellii",NA,2.06098077780932,NA,3031.575,NA,1.8,"Carnivore","Other",4,TRUE,1,0,1,0,1,0,0,0,0,0,1,0,0,NA
"SQUAMATA","ANGUIDAE","Abronia","Abronia anzuetoi",NA,44.5328124198752,NA,NA,NA,NA,NA,"Other",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","ANGUIDAE","Abronia","Abronia aurita",NA,34.07040948505,NA,NA,NA,12,NA,"Other",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","ANGUIDAE","Abronia","Abronia bogerti",NA,9.63025439494907,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","ANGUIDAE","Abronia","Abronia campbelli",NA,35.9874667577871,NA,NA,NA,8,NA,"Other",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
