"";"Parameter";"Median";"CI";"CI_low";"CI_high";"pd";"ROPE_CI";"ROPE_low";"ROPE_high";"ROPE_Percentage";"Rhat";"ESS"
"1";"Intercept[1]";-0,115056871352112;0,95;-0,399032103524042;0,1508142643456;0,8075;0,95;-0,1;0,1;0,42280701754386;1,00025262081577;6458,42279914651
"2";"Intercept[2]";0,875243037468703;0,95;0,599304227372847;1,17996330310861;1;0,95;-0,1;0,1;0;1,00018042453818;6564,53552375757
"3";"Intercept[3]";1,28171953237979;0,95;0,986511165941823;1,61337228035202;1;0,95;-0,1;0,1;0;1,00002979977769;6556,12757565025
"4";"scalelog10bm_gP1";-0,174160266434882;0,95;-0,444726123413003;0,101672169348439;0,898888888888889;0,95;-0,1;0,1;0,28406432748538;0,999713505861529;7229,57907924204
"5";"Intercept[1]";-0,815856635539573;0,95;-1,55132565068061;-0,218266166174627;0,997361111111111;0,95;-0,1;0,1;0;0,999929010578161;6702,16706664367
"6";"Intercept[2]";0,122804381812272;0,95;-0,505585475665947;0,732611341631793;0,660277777777778;0,95;-0,1;0,1;0,260233918128655;0,999908461104643;7090,40130902661
"7";"Intercept[3]";0,679595582245332;0,95;0,0754149771393492;1,38989048033781;0,985416666666667;0,95;-0,1;0,1;0,00628654970760234;0,999650708246057;7129,91117333311
"8";"scalelog10bm_gP1";-0,828486165390013;0,95;-1,58431785136924;-0,258825118778873;0,997083333333333;0,95;-0,1;0,1;0;0,999756880282492;6667,50657883024
"9";"Intercept[1]";-0,569755529787384;0,95;-0,742403539178973;-0,402626818649554;1;0,95;-0,1;0,1;0;0,999902625790635;7164,0299778247
"10";"Intercept[2]";0,500977195139529;0,95;0,335239921982428;0,680851865631138;1;0,95;-0,1;0,1;0;0,999736039197568;7161,21773038138
"11";"Intercept[3]";1,17408843062164;0,95;0,987056824670735;1,37595862549724;1;0,95;-0,1;0,1;0;0,999668225208103;6641,41276091131
"12";"scalelog10bm_gP1";-0,035203027420578;0,95;-0,1952628054202;0,117698365336039;0,669444444444444;0,95;-0,1;0,1;0,79546783625731;0,99989136697173;6932,13490448662
"13";"Intercept[1]";-0,175659697685128;0,95;-0,374083174071054;0,0206625077821221;0,960416666666667;0,95;-0,1;0,1;0,201023391812865;1,00005583718263;4784,68373674614
"14";"Intercept[2]";0,727049128293141;0,95;0,52535841423182;0,938597552605804;1;0,95;-0,1;0,1;0;1,00000293328509;4951,60022848247
"15";"Intercept[3]";2,19033944724219;0,95;1,94200304131978;2,45317682474094;1;0,95;-0,1;0,1;0;0,999970482690758;5052,57040825817
"16";"scalelog10bm_gP1";0,246045765299653;0,95;0,0493373880212375;0,449522060972688;0,992361111111111;0,95;-0,1;0,1;0,0513157894736842;1,00016615030759;4250,82625385201
"17";"Intercept[1]";-0,722325848245522;0,95;-0,944442889458629;-0,507801222449054;1;0,95;-0,1;0,1;0;0,999815904248956;5834,74615130606
