"","Parameter","Median","CI","CI_low","CI_high","pd","ROPE_CI","ROPE_low","ROPE_high","ROPE_Percentage","Rhat","ESS"
"1","Intercept",1.08102663470753,0.95,0.724554931455595,1.43814071379709,1,0.95,-0.116539173437571,0.116539173437571,0,0.999685344926014,6236.19577888354
"2","Latitude",0.187921223274838,0.95,-0.0922025422650976,0.452046920776868,0.914305555555556,0.95,-0.116539173437571,0.116539173437571,0.296740242654583,0.999656417013272,6982.82054837408
"3","Intercept",1.51563129297634,0.95,1.04288526037068,1.98405071124917,1,0.95,-0.136328296944759,0.136328296944759,0,0.999596608397069,6943.41604931107
"4","Latitude",-0.026815589338665,0.95,-0.42940426589298,0.397360183587149,0.55375,0.95,-0.136328296944759,0.136328296944759,0.516152609267651,0.999539203100881,7031.51203508939
"5","Intercept",1.05233886455529,0.95,0.909418971387292,1.1947145160746,1,0.95,-0.10835104006896,0.10835104006896,0,0.999673089868579,6846.38578623323
"6","Latitude",-0.0866202745619905,0.95,-0.189946724789308,0.024314054554419,0.942222222222222,0.95,-0.10835104006896,0.10835104006896,0.666423037567607,0.99991626533226,7088.61080754866
"7","Intercept",0.824037202359827,0.95,0.716109436271644,0.92449567510743,1,0.95,-0.104541312151624,0.104541312151624,0,0.999617641679098,6837.22522185212
"8","Latitude",-0.0883135349137921,0.95,-0.178548535421104,-0.000693051443092427,0.97375,0.95,-0.104541312151624,0.104541312151624,0.648150855138138,0.99964712870229,6987.98257802684
"9","Intercept",1.10490828242035,0.95,0.954985455447143,1.24479008510523,1,0.95,-0.0975826421424896,0.0975826421424896,0,0.99996261727072,6591.36664801078
"10","Latitude",-0.0579589597854415,0.95,-0.160415731150607,0.0370566846177853,0.867916666666667,0.95,-0.0975826421424896,0.0975826421424896,0.792866539979535,0.999718243170436,7265.2018500627
"11","Intercept",0.312983133146195,0.95,0.167912094792939,0.461089723893744,1,0.95,-0.0840220010205928,0.0840220010205928,0,1.00423887990102,1250.51073063511
"12","Latitude",-0.692732217240821,0.95,-0.734765940178621,-0.653325010101781,1,0.95,-0.0840220010205928,0.0840220010205928,0,1.00015130210879,6579.65222331484
"13","Intercept",0.717648348551658,0.95,0.659370445010917,0.776505426885545,1,0.95,-0.0716805871330388,0.0716805871330388,0,0.999779995433619,3262.98842271512
"14","Latitude",-0.0411423228095058,0.95,-0.0709777829208408,-0.011574649802697,0.996666666666667,0.95,-0.0716805871330388,0.0716805871330388,1,1.00003232013338,6074.51062719581
"15","Intercept",0.88563401776279,0.95,0.787652430816805,0.982080134066164,1,0.95,-0.0494794143775368,0.0494794143775368,0,1.00002526753292,4123.55316926396
"16","Latitude",-0.00192126031657094,0.95,-0.0353303254315801,0.0361944542563712,0.543472222222222,0.95,-0.0494794143775368,0.0494794143775368,1,0.999554745464328,7285.74165787971
"17","Intercept",1.00469181068649,0.95,0.391427957522948,1.65482386979755,0.998055555555556,0.95,-0.118164008561214,0.118164008561214,0,1.00111968441402,6033.08743701993
"18","Latitude",0.0909864172979462,0.95,-0.314614581637645,0.483824734519876,0.676666666666667,0.95,-0.118164008561214,0.118164008561214,0.428738488525069,0.999988007887713,6480.64277764548
"19","Intercept",0.805122536292193,0.95,0.702954564875311,0.905240928920305,1,0.95,-0.0988175612676771,0.0988175612676771,0,1.00024967953259,5775.74125407329
"20","Latitude",-0.316045509055953,0.95,-0.401740030887301,-0.234615700650015,1,0.95,-0.0988175612676771,0.0988175612676771,0,1.00045680304993,6960.09725999046
"21","Intercept",0.993924620817596,0.95,0.764931536759087,1.23353502407547,1,0.95,-0.0937268034708698,0.0937268034708698,0,1.00038492935369,6339.43174172958
"22","Latitude",-0.024851243896308,0.95,-0.146095071960158,0.0908347546319453,0.653888888888889,0.95,-0.0937268034708698,0.0937268034708698,0.888612775909955,0.999854398615218,6462.58491900708
"23","Intercept",1.02464895296797,0.95,0.372110835512399,1.72692358509967,0.99625,0.95,-0.0666666666666667,0.0666666666666667,0,1.00286972918315,2244.72180685042
"24","Latitude",-0.000449373343661526,0.95,-0.389570390814527,0.309628892619972,0.519166666666667,0.95,-0.0666666666666667,0.0666666666666667,0.710276275398334,0.999567197123099,3845.26831054451
"25","Intercept",1.28135645561538,0.95,1.08106737046895,1.47767596717161,1,0.95,-0.088704457191415,0.088704457191415,0,0.999563526264266,7166.4029492442
"26","Latitude",0.131458179060442,0.95,-0.0671484961599481,0.311066839348071,0.909861111111111,0.95,-0.088704457191415,0.088704457191415,0.324660137406812,1.00037680319684,6912.31258209756
"27","Intercept",1.53444013271972,0.95,1.24055723865095,1.83495166388555,1,0.95,-0.0859179979360635,0.0859179979360635,0,0.999996881655405,6835.78006801153
"28","Latitude",-0.129356002738084,0.95,-0.286515261432709,0.010653193147604,0.954444444444444,0.95,-0.0859179979360635,0.0859179979360635,0.265019733957024,0.999734894443398,7281.58077332553
